corpus,id,text,human_score,human_label,vader_neg,vader_neu,vader_pos,vader_compound,vader_label
Amazon Reviews,1_1,troubleshooting ad-2500 and ad-2600 no picture scrolling b/w.,-0.9,NEGATIVE,0.222,0.606,0.172,-0.128,NEGATIVE
Amazon Reviews,1_2,"repost from january 13, 2004 with a better fit title.",-0.15,NEUTRAL,0.0,0.597,0.403,0.6597,POSITIVE
Amazon Reviews,1_3,does your apex dvd player only play dvd audio without video?,-0.2,NEUTRAL,0.0,0.806,0.194,0.34,POSITIVE
Amazon Reviews,1_4,or does it play audio and video but scrolling in black and white?,-0.1,NEUTRAL,0.0,0.876,0.124,0.1779,POSITIVE
Amazon Reviews,1_5,"before you try to return the player or waste hours calling apex tech support, or run the player over with your car, try these simple troubleshooting ideas first.",-0.5,NEGATIVE,0.087,0.776,0.137,0.1531,POSITIVE
Amazon Reviews,1_6,no picture:  hopefully you still have the remote control.,-0.95,NEGATIVE,0.389,0.611,0.0,-0.5358,NEGATIVE
Amazon Reviews,1_7,"if you tossed it out the window, you need to fetch it.",-0.1,NEUTRAL,0.0,1.0,0.0,0.0,NEUTRAL
Amazon Reviews,1_8,"using the remote control, press the i/p button located on the bottom right corner of the remote.",0.1,NEUTRAL,0.0,1.0,0.0,0.0,NEUTRAL
Amazon Reviews,1_9,the i/p button switches the tv display between interlace and progressive.,0.2,NEUTRAL,0.0,1.0,0.0,0.0,NEUTRAL
Amazon Reviews,1_10,"if this doesnt bring back the picture, try pressing this button without playing a dvd.",-0.05,NEUTRAL,0.102,0.898,0.0,-0.1511,NEGATIVE
Amazon Reviews,1_11,"if you dont get video back, now you can run the player over with your car!",-1.15,NEGATIVE,0.0,1.0,0.0,0.0,NEUTRAL
Amazon Reviews,1_12,picture scrolling in b/w:  you need the remote control for this so you better get it from your dog before he burries it in the backyard.,-0.65,NEGATIVE,0.0,0.887,0.113,0.4902,POSITIVE
Amazon Reviews,1_13,press the p/n button located on the bottom right corner of the remote.,0.05,NEUTRAL,0.0,1.0,0.0,0.0,NEUTRAL
Amazon Reviews,1_14,the p/n button switches your dvd players video output signal between pal and ntsc.,0.25,NEUTRAL,0.0,1.0,0.0,0.0,NEUTRAL
Amazon Reviews,1_15,"by pressing p/n, you should be able to get a good picture on the screen.",1.15,POSITIVE,0.0,0.828,0.172,0.4404,POSITIVE
Amazon Reviews,1_16,for other problems go to http://www.apexdigitalinc.com/support.asp  i hope i have helped you continue to enjoy the apex dvd player with these troubleshooting tips.,0.2,NEUTRAL,0.092,0.644,0.264,0.6249,POSITIVE
