sentence_id,review_id,text,primary_intent,intent_count,intent_complaint,intent_return_refund,intent_support_contact,intent_shipping,intent_product_quality,intent_price_value,intent_recommendation,intent_neutral_inquiry,escalation_risk,human_score,human_label,vader_neg,vader_neu,vader_pos,vader_compound,vader_label
1_1,1,troubleshooting ad-2500 and ad-2600 no picture scrolling b/w.,other,0,0,0,0,0,0,0,0,0,0,-0.9,NEGATIVE,0.222,0.606,0.172,-0.128,NEGATIVE
1_2,1,"repost from january 13, 2004 with a better fit title.",other,0,0,0,0,0,0,0,0,0,0,-0.15,NEUTRAL,0.0,0.597,0.403,0.6597,POSITIVE
1_3,1,does your apex dvd player only play dvd audio without video?,other,0,0,0,0,0,0,0,0,0,0,-0.2,NEUTRAL,0.0,0.806,0.194,0.34,POSITIVE
1_4,1,or does it play audio and video but scrolling in black and white?,other,0,0,0,0,0,0,0,0,0,0,-0.1,NEUTRAL,0.0,0.876,0.124,0.1779,POSITIVE
1_5,1,"before you try to return the player or waste hours calling apex tech support, or run the player over with your car, try these simple troubleshooting ideas first.",complaint,3,1,1,1,0,0,0,0,0,0,-0.5,NEGATIVE,0.087,0.776,0.137,0.1531,POSITIVE
1_6,1,no picture:  hopefully you still have the remote control.,other,0,0,0,0,0,0,0,0,0,0,-0.95,NEGATIVE,0.389,0.611,0.0,-0.5358,NEGATIVE
1_7,1,"if you tossed it out the window, you need to fetch it.",other,0,0,0,0,0,0,0,0,0,0,-0.1,NEUTRAL,0.0,1.0,0.0,0.0,NEUTRAL
1_8,1,"using the remote control, press the i/p button located on the bottom right corner of the remote.",other,0,0,0,0,0,0,0,0,0,0,0.1,NEUTRAL,0.0,1.0,0.0,0.0,NEUTRAL
1_9,1,the i/p button switches the tv display between interlace and progressive.,other,0,0,0,0,0,0,0,0,0,0,0.2,NEUTRAL,0.0,1.0,0.0,0.0,NEUTRAL
1_10,1,"if this doesnt bring back the picture, try pressing this button without playing a dvd.",other,0,0,0,0,0,0,0,0,0,0,-0.05,NEUTRAL,0.102,0.898,0.0,-0.1511,NEGATIVE
1_11,1,"if you dont get video back, now you can run the player over with your car!",other,0,0,0,0,0,0,0,0,0,0,-1.15,NEGATIVE,0.0,1.0,0.0,0.0,NEUTRAL
1_12,1,picture scrolling in b/w:  you need the remote control for this so you better get it from your dog before he burries it in the backyard.,other,0,0,0,0,0,0,0,0,0,0,-0.65,NEGATIVE,0.0,0.887,0.113,0.4902,POSITIVE
1_13,1,press the p/n button located on the bottom right corner of the remote.,other,0,0,0,0,0,0,0,0,0,0,0.05,NEUTRAL,0.0,1.0,0.0,0.0,NEUTRAL
1_14,1,the p/n button switches your dvd players video output signal between pal and ntsc.,other,0,0,0,0,0,0,0,0,0,0,0.25,NEUTRAL,0.0,1.0,0.0,0.0,NEUTRAL
1_15,1,"by pressing p/n, you should be able to get a good picture on the screen.",other,0,0,0,0,0,0,0,0,0,0,1.15,POSITIVE,0.0,0.828,0.172,0.4404,POSITIVE
1_16,1,for other problems go to http://www.apexdigitalinc.com/support.asp  i hope i have helped you continue to enjoy the apex dvd player with these troubleshooting tips.,complaint,1,1,0,0,0,0,0,0,0,0,0.2,NEUTRAL,0.092,0.644,0.264,0.6249,POSITIVE
1_17,1,i have done some research and experimenting with the remote when my apex ad-2500 seemed to have lost its video signal.,other,0,0,0,0,0,0,0,0,0,0,-0.7,NEGATIVE,0.103,0.897,0.0,-0.3182,NEGATIVE
1_18,1,im a more happier person after discovering the i/p button!,other,0,0,0,0,0,0,0,0,0,0,1.75,POSITIVE,0.0,0.693,0.307,0.6105,POSITIVE
1_19,1,the button was probably accidentally pushed to cause the black screen in the first place.,other,0,0,0,0,0,0,0,0,0,0,-0.65,NEGATIVE,0.146,0.854,0.0,-0.34,NEGATIVE
1_20,1,"but, if you're looking for my opinion of the apex dvd player, i love it!",other,0,0,0,0,0,0,0,0,0,0,2.85,POSITIVE,0.0,0.697,0.303,0.7959,POSITIVE
1_21,1,it practically plays almost everything you give it.,support_contact,1,0,0,1,0,0,0,0,0,0,1.75,POSITIVE,0.0,0.778,0.222,0.25,POSITIVE
1_22,1,i've had the player for about 2 years now and it still performs nicely with the exception of an occasional wwhhhrrr sound from the motor.,other,0,0,0,0,0,0,0,0,0,0,1.25,POSITIVE,0.0,0.892,0.108,0.4404,POSITIVE
1_23,1,for the price it is a well spent investment!,price_value,1,0,0,0,0,0,1,0,0,0,2.2,POSITIVE,0.0,0.77,0.23,0.3382,POSITIVE
