id,human_score,text,corpus,human_label,vader_score,vader_label,distilbert_label,distilbert_score,roberta_label,roberta_score
1_1,-0.9,troubleshooting ad-2500 and ad-2600 no picture scrolling b/w.,Amazon,NEGATIVE,-0.512,NEGATIVE,NEGATIVE,-4,NEUTRAL,0
1_2,-0.15,"repost from january 13, 2004 with a better fit title.",Amazon,NEUTRAL,2.6388,POSITIVE,NEGATIVE,-4,NEUTRAL,0
1_3,-0.2,does your apex dvd player only play dvd audio without video?,Amazon,NEUTRAL,1.36,POSITIVE,NEGATIVE,-4,NEUTRAL,0
1_4,-0.1,or does it play audio and video but scrolling in black and white?,Amazon,NEUTRAL,0.7116,POSITIVE,NEGATIVE,-4,NEUTRAL,0
1_5,-0.5,"before you try to return the player or waste hours calling apex tech support, or run the player over with your car, try these simple troubleshooting ideas first.",Amazon,NEGATIVE,0.6124,POSITIVE,NEGATIVE,-4,NEUTRAL,0
1_6,-0.95,no picture:  hopefully you still have the remote control.,Amazon,NEGATIVE,-2.1432,NEGATIVE,NEGATIVE,-4,NEUTRAL,0
1_7,-0.1,"if you tossed it out the window, you need to fetch it.",Amazon,NEUTRAL,0.0,NEUTRAL,NEGATIVE,-4,NEUTRAL,0
1_8,0.1,"using the remote control, press the i/p button located on the bottom right corner of the remote.",Amazon,NEUTRAL,0.0,NEUTRAL,NEGATIVE,-4,NEUTRAL,0
1_9,0.2,the i/p button switches the tv display between interlace and progressive.,Amazon,NEUTRAL,0.0,NEUTRAL,NEGATIVE,-4,NEUTRAL,0
1_10,-0.05,"if this doesnt bring back the picture, try pressing this button without playing a dvd.",Amazon,NEUTRAL,-0.6044,NEGATIVE,NEGATIVE,-4,NEUTRAL,0
1_11,-1.15,"if you dont get video back, now you can run the player over with your car!",Amazon,NEGATIVE,0.0,NEUTRAL,NEGATIVE,-4,NEUTRAL,0
1_12,-0.65,picture scrolling in b/w:  you need the remote control for this so you better get it from your dog before he burries it in the backyard.,Amazon,NEGATIVE,1.9608,POSITIVE,NEGATIVE,-4,NEUTRAL,0
1_13,0.05,press the p/n button located on the bottom right corner of the remote.,Amazon,NEUTRAL,0.0,NEUTRAL,NEGATIVE,-4,NEUTRAL,0
1_14,0.25,the p/n button switches your dvd players video output signal between pal and ntsc.,Amazon,NEUTRAL,0.0,NEUTRAL,NEGATIVE,-4,NEUTRAL,0
1_15,1.15,"by pressing p/n, you should be able to get a good picture on the screen.",Amazon,POSITIVE,1.7616,POSITIVE,POSITIVE,4,NEUTRAL,0
1_16,0.2,for other problems go to http://www.apexdigitalinc.com/support.asp  i hope i have helped you continue to enjoy the apex dvd player with these troubleshooting tips.,Amazon,NEUTRAL,2.4996,POSITIVE,POSITIVE,4,NEUTRAL,0
1_17,-0.7,i have done some research and experimenting with the remote when my apex ad-2500 seemed to have lost its video signal.,Amazon,NEGATIVE,-1.2728,NEGATIVE,NEGATIVE,-4,NEUTRAL,0
1_18,1.75,im a more happier person after discovering the i/p button!,Amazon,POSITIVE,2.442,POSITIVE,POSITIVE,4,NEUTRAL,0
1_19,-0.65,the button was probably accidentally pushed to cause the black screen in the first place.,Amazon,NEGATIVE,-1.36,NEGATIVE,NEGATIVE,-4,NEUTRAL,0
1_20,2.85,"but, if you're looking for my opinion of the apex dvd player, i love it!",Amazon,POSITIVE,3.1836,POSITIVE,POSITIVE,4,NEUTRAL,0
1_21,1.75,it practically plays almost everything you give it.,Amazon,POSITIVE,1.0,POSITIVE,POSITIVE,4,NEUTRAL,0
1_22,1.25,i've had the player for about 2 years now and it still performs nicely with the exception of an occasional wwhhhrrr sound from the motor.,Amazon,POSITIVE,1.7616,POSITIVE,POSITIVE,4,NEUTRAL,0
1_23,2.2,for the price it is a well spent investment!,Amazon,POSITIVE,1.3528,POSITIVE,POSITIVE,4,NEUTRAL,0
1_24,2.25,i would recommend buying one.,Amazon,POSITIVE,1.4448,POSITIVE,POSITIVE,4,NEUTRAL,0
